Serial_number,page 1,page 2,page 3,page 4,page 5,desired page score,Scaled ,Final
148,25.92834805,7.40667278,7.40667278,22.22424394,37.03406245,37.03406245,3.703406245,3.7
159,33.3347466,0.0001428898034,0.0001428898034,0.0002143347051,66.66475328,66.66475328,6.666475328,6.67
160,33.33182803,0.0003387017562,0.0003387017562,0.0003387017562,66.66715587,66.66715587,6.666715587,6.67
161,33.33251953,0,33.33496094,0,33.33251953,33.33251953,3.333251953,3.33
162,33.33343506,22.22371419,0,0,44.44285075,44.44285075,4.444285075,4.44
163,33.33496094,0,0,0,66.66503906,66.66503906,6.666503906,6.67
164,28.56912952,0,28.57414033,14.28411501,28.57261514,28.57261514,2.857261514,2.86
165,26.08872932,0,8.695142595,13.04207256,52.17405552,52.17405552,5.217405552,5.22
166,26.08986853,0,8.694516336,13.04097633,52.1746388,52.1746388,5.21746388,5.22
167,16.21740373,10.8106322,16.21668647,13.51436678,43.24091083,43.24091083,4.324091083,4.32
168,16.43786907,10.95749378,19.1779089,9.588632584,43.83809566,43.83809566,4.383809566,4.38
169,18.18181388,12.12202527,21.21293567,0,48.48322518,48.48322518,4.848322518,4.85
170,0.003510358371,0.003510358371,0.00808356789,0.00808356789,99.97681215,99.97681215,9.997681215,10
171,7.741110558,18.06334951,23.22721469,30.96832525,20,20,2,2
172,0.00399027839,0.006144143431,0.008937075303,0.0048245714,99.97610393,99.97610393,9.997610393,10
173,0.007532714959,0.014743621,0.01987509423,0.01902600029,99.93882257,99.93882257,9.993882257,9.99
174,7.230128791,16.86954637,21.68467078,28.91425183,25.30140223,25.30140223,2.530140223,2.53
175,0.003662111672,0.007324214156,0.007324214156,0.002441410844,99.97924805,99.97924805,9.997924805,10
176,13.33496094,13.33496094,39.99633789,0,33.33374023,33.33374023,3.333374023,3.33
177,0.002133754911,0.005406989852,0.004130242997,0.002133754911,99.98619526,99.98619526,9.998619526,10
178,0.00463206321,0.01072388142,0.007049180567,20,79.97759487,79.97759487,7.997759487,8
179,0.00463206321,0.01072388142,0.007049180567,79.97759487,20,20,2,2
180,0.00244140625,0.00244140625,0.00244140625,39.99755859,59.99511719,59.99511719,5.999511719,6
